Product Name,Price,Rating
"Sonar Stainless Steel 1.8Ltr Electric Kettle,1.5m Power Cord,1500W Fast Boil 1YR WRTY",KSh 523,4 out of 5
"Sonar 2L Cordless Electric Kettle ,1500W Energy Efficient , 1 .5m Power Cord 1YR WRTY",KSh 599,4 out of 5
6Pcs Soft Cotton Checked Men's Boxers – Multicolor,KSh 586,3.6 out of 5
"Starlink Mini kit : High-Speed, Low-Latency Internet, Wi-Fi 5","KSh 24,000",4.5 out of 5
"VILLAON V101 1.77"" Kabambe, Wireless FM, Camera, Bright Touch, Facebook, 1000mAh (Dual Sim)  (1YR WRTY)",KSh 850,3.8 out of 5
Em ElectroMate Water Dispenser With Hot And Normal Water White Dispenser,"KSh 2,499",4 out of 5
Lyons LST4304W 43”INCH Smart Android Frameless 2K Full HD TV -  Bluetooth(1YR WRTY),"KSh 16,999",4.1 out of 5
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black,KSh 499,4 out of 5
Garnier Even & Matte Vitamin C UV SPF30 Sunscreen - Protection & Brightening Non-greasy Face Cream 50ml,KSh 875,4.2 out of 5
Ramtons RM/399-corded Electric Kettle 1.7 Ltrs- White (1YR WRTY),"KSh 1,100",4.1 out of 5
"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)","KSh 10,599",4 out of 5
"Amtec 32R1S, 32"" Inch Smart Android Frameless LED TV With Bluetooth,  (1YR WRTY).","KSh 9,999",3.9 out of 5
AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),KSh 899,3.8 out of 5
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)","KSh 17,255",4 out of 5
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)","KSh 5,506",4 out of 5
L'Oréal Paris GLYCOLIC BRIGHT FACE CLEANSER FOAM 100ML,KSh 850,4.4 out of 5
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,"KSh 1,225",4.3 out of 5
4 Pcs Classic Cotton  Ladies Pants  - Assorted Colors,KSh 498,3.8 out of 5
3 Pieces Of Adjustable Baseball Cap - Multicolour+free Gift,KSh 575,3.9 out of 5
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser (Black),"KSh 2,420",3.9 out of 5
Rashnik TV Wall Mount TV Stand For 14” -  42”,KSh 161,4.1 out of 5
AILYONS FY-1731 Blender 2 In 1 With Grinder Machines  1.5L (1YR WRTY),"KSh 1,699",3.8 out of 5
Garnier Day & Night Routine Pack: Even & Matte Vitamin C Booster Serum 30ml + Even & Bright Night Booster Serum 30ml,"KSh 2,763",4.4 out of 5
Garnier Twin Pack Even & Matte Vitamin C Brightening Booster Face Serum 30ml -Dark Spots Corrector With Niaciniamide + Salicylic Acid,"KSh 2,275",4.4 out of 5
Garnier Pure Active AHA+BHA Charcoal Daily Mattifying Air Cream 50ml. 3 In 1 All Day Oil Control Moisturiser With 48hr Hydration To Visibly Reduce Blemishes.,KSh 919,4.4 out of 5
Garnier Even & Matte Cleansing Foam 100ml With Vitamin C And Lemon - Visibly Even And Restores Skin Glow,KSh 420,4.3 out of 5
"VON VCF503131NFY, 3 Gas + 1 electric hotplate, Electric oven 50x50 Grey (1YR WRTY)","KSh 18,700",4.1 out of 5
Ramtons RM/458 - Digital Glass Microwave (1YR WRTY),"KSh 8,964",4.5 out of 5
Rashnik RN-999 2 In 1 Blender & Grinder –1.5L – 350W - Black,"KSh 1,490",3.9 out of 5
VON VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY),"KSh 25,499",4.3 out of 5
"Lyons AFK-1199-2 Hot ,Cold and Normal Water Dispenser  With Storage Cabinet  light grey(1YR WRTY)","KSh 5,999",4.1 out of 5
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet (1YR WRTY),"KSh 2,699",3.9 out of 5
"Garnier Pure Active Anti-Blemish Charcoal Serum 30ml - With 4% Niacinamide, AHA And BHA(salicylic Acid) - Reduced Pimples And Dark Marks","KSh 1,388",4.2 out of 5
"Starlink Standard Kit: High-Speed, Low-Latency Internet with Gen 3 Router, Wi-Fi 6","KSh 45,000",4.6 out of 5
"Garnier Skin Active Pure Active Intensive 3 In1 Charcoal Anti-Blackhead Wash For Acne Prone Skin And Blackheads, 150ml","KSh 1,009",4.4 out of 5
AILYONS HD-198A Electric Dry Iron Box White & Blue,KSh 749,3.8 out of 5
"6pcs Mixed Assorted Colours, Llight Cotton Fabric Waist 28-32 Inches 28-32 Inches",KSh 499,3.2 out of 5
"XIAOMI Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh (2YRS WRTY)","KSh 14,320",4.1 out of 5
Ladies Sneaker Shoes Causal Shoes Buy A Size Larger Than Usual White,KSh 899,4 out of 5
"Itel A50, 6.6'', 64GB + 2GB RAM (Dual SIM), 4G, 5000mAh, Black","KSh 7,399",4.6 out of 5
Nice One Stainless Steel Vacuum Flask High-Quality Thermos - 2.0L - Red (VFS-023-2.00L-Red),KSh 899,3.9 out of 5
Garnier Anti Acne Cleanser And Treatment Kit: Garnier AHA+BHA Charcoal Serum 30ml + Pure Active 3-in-1 Charcoal Mask 150ml,"KSh 2,077",4.2 out of 5
4Pairs Finest Cotton Freesize Unisex Plain Invisible Socks,KSh 198,4 out of 5
Set Of 2 Bed Pillows (Pair- Pure Fibre Filled),KSh 639,3.9 out of 5
"Oale S24+ - 6.52"" 32GB ROM 3GB RAM, 8MP, 4050mAh, 3G (Dual SIM) - Black  (1YR WRTY)","KSh 5,899",4 out of 5
"Vitron HTC4388FS 43""inch Full HD Frameless BLUETOOTH ENABLED Smart/Android TV InbuiltDecoder/(1 YEAR WARRANTY)+TVGuard+Bracket","KSh 19,595",4.1 out of 5
Nunix 5 Layer Shoe Rack – black,KSh 378,3.8 out of 5
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 72h - 50ml (Pack Of 2)",KSh 699,4.4 out of 5
"XIAOMI Redmi A5, 6.88"", 3GB + 64GB , 5200mAh, DUAL SIM, 4G - Midnight Black","KSh 8,946",4.2 out of 5
"Maybelline Lifter Gloss Plumping And Hydrating Lip Gloss With Hyaluronic Acid For Super Juicy Lips With Incredible Shine - 009 Topaz, 5.4ml","KSh 1,250",4.5 out of 5
NIVEA MEN Deep Body Lotion For Men - 400ml (Pack of 2),KSh 949,4.6 out of 5
"Maybelline Lasting Fix Makeup Setting Spray, Matte Finish","KSh 2,220",4.4 out of 5
Vitron V400 2.1Ch Bluetooth Speaker System,"KSh 2,809",3.9 out of 5
"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,72h - 50 Ml (Pack Of 2)","KSh 1,040",4.4 out of 5
Fashionable Ladies Shoulder Bag Crossbody Single Shoulder Bag Coin Purse,KSh 699,4 out of 5
"Garnier Twin Pack Pure Active Charcoal Serum - 30ml Anti-Blemish With 4% Niacinamide, AHA And BHA (salicylic Acid) - Reduced Pimples And Dark Marks","KSh 2,405",4.4 out of 5
"VON VRT-195DRHS Double Door Direct Cool - 195L, Dark Silver","KSh 30,499",4.4 out of 5
6Pcs Soft Cotton Brief Men's Boxers – Waist 29-35inc,KSh 899,3.6 out of 5
"Vision Plus 32"" FHD ANDROID TV + Free Wall Mount + 2 Year WRNTY","KSh 11,199",4.1 out of 5
"Garnier Skin Active Micellar Cleansing Water 3 In 1 For Sensitive Skin 400ml. Cleanses, Soothes And Removes Make Up.",KSh 522,4.5 out of 5
Nice One Set Of 6pcs 240ML High Quality Milk Juicer Beer Glass Cups Wine Water Glasses (GLASS CUP 7050),KSh 459,4.2 out of 5
"VON VAMS-20MGX - Manual Microwave Oven, Solo - 20L-Black(1YR WRTY)","KSh 6,999",4.3 out of 5
